policy_label,metric,reference,candidate_row,candidate_exposure_weighted,funded_group_mix_counterfactual,funded_exposure_weighted,row_minus_reference,row_to_exposure,group_composition,within_group_selection,total_minus_reference,identity_residual,completion,funded_endpoint_is_sharp_bound,components_are_completion_specific
selected_conformal_guardrail,binary_miscoverage,0.1,0.1203083127703043,0.1262716394713522,0.1235977118055576,0.2947084987181291,0.0203083127703043,0.0059633267010478,-0.0026739276657945,0.1711107869125714,0.1947084987181291,2.775557561562892e-17,lower,True,True
selected_conformal_guardrail,binary_miscoverage,0.1,0.1450768128631696,0.1516588460345877,0.1530530816694351,0.309588572071545,0.0450768128631696,0.0065820331714181,0.0013942356348473,0.1565354904021099,0.209588572071545,0.0,upper,True,True
selected_conformal_guardrail,snapshot_default,0.1529942423518798,0.1529942423518798,0.1583329378958816,0.117122874122441,0.2927751653847958,0.0,0.0053386955440017,-0.0412100637734405,0.1756522912623547,0.1397809230329159,0.0,lower,True,True
selected_conformal_guardrail,snapshot_default,0.1832046485712011,0.1832046485712011,0.1887255327657879,0.1494159970974046,0.3103219054048784,0.0,0.0055208841945867,-0.0393095356683832,0.1609059083074737,0.1271172568336772,0.0,upper,True,True
same_threshold_point_pd,binary_miscoverage,0.1,0.1203083127703043,0.1262716394713522,0.1310427895862665,0.27536,0.0203083127703043,0.0059633267010478,0.0047711501149143,0.1443172104137334,0.17536,0.0,lower,True,True
same_threshold_point_pd,binary_miscoverage,0.1,0.1450768128631696,0.1516588460345877,0.1542667606814193,0.290265,0.0450768128631696,0.0065820331714181,0.0026079146468316,0.1359982393185806,0.190265,0.0,upper,True,True
same_threshold_point_pd,snapshot_default,0.1529942423518798,0.1529942423518798,0.1583329378958816,0.1779598475960517,0.3260366666666666,0.0,0.0053386955440017,0.0196269097001701,0.1480768190706148,0.1730424243147867,0.0,lower,True,True
same_threshold_point_pd,snapshot_default,0.1832046485712011,0.1832046485712011,0.1887255327657879,0.2073570823865221,0.3434283333333333,0.0,0.0055208841945867,0.0186315496207342,0.1360712509468112,0.1602236847621322,0.0,upper,True,True
development_matched_point_pd,binary_miscoverage,0.1,0.1203083127703043,0.1262716394713522,0.1255486065041895,0.2566240161736042,0.0203083127703043,0.0059633267010478,-0.0007230329671627,0.1310754096694147,0.1566240161736042,0.0,lower,True,True
development_matched_point_pd,binary_miscoverage,0.1,0.1450768128631696,0.1516588460345877,0.1561934811928054,0.2742969028345432,0.0450768128631696,0.0065820331714181,0.0045346351582176,0.1181034216417377,0.1742969028345432,0.0,upper,True,True
development_matched_point_pd,snapshot_default,0.1529942423518798,0.1529942423518798,0.1583329378958816,0.1148575108571958,0.2473532165490955,0.0,0.0053386955440017,-0.0434754270386858,0.1324957056918997,0.0943589741972156,-1.3877787807814457e-17,lower,True,True
development_matched_point_pd,snapshot_default,0.1832046485712011,0.1832046485712011,0.1887255327657879,0.1472364196942229,0.2650261032100346,0.0,0.0055208841945867,-0.0414891130715649,0.1177896835158116,0.0818214546388334,0.0,upper,True,True
